overall_accuracy,phoneme_mismatch_rate,accuracy_by_tag.greeting,accuracy_by_tag.food,accuracy_by_tag.travel,accuracy_by_tag.shopping,accuracy_by_tag.office,accuracy_by_modality.text,accuracy_by_modality.audio,accuracy_by_modality.speech,pronunciation_errors.ق,pronunciation_errors.ج,label
0.412362035654209,0.980285722563967,0.519598182543422,0.479597545259111,0.346805592132731,0.346798356100861,0.31742508365046,0.559852843732481,0.480334503522963,0.512421773338814,g,y,Pearl Seeker
0.590972955648598,0.932977056320169,0.363701733203483,0.35454749016213,0.35502135295603,0.391272672887861,0.457426929489671,0.429583505592635,0.387368742059413,0.483555868416714,g,j,Pearl Seeker
0.387643394560565,0.746544737317477,0.436820995265111,0.535552788417904,0.359902134647508,0.454270331524083,0.477724370658613,0.313935123815999,0.482263455570432,0.351157237106187,q,j,Pearl Seeker
0.584665661176,0.986252813229824,0.542519204434938,0.391384130752011,0.329301634201915,0.505269907953647,0.43204574812188,0.336611470453434,0.448553073033381,0.310316556334566,g,y,Pearl Seeker
0.377633994480005,0.865008913741593,0.393513322826823,0.456020406353343,0.464013083802984,0.355456336657658,0.590875388329368,0.532539847008334,0.581849682469257,0.568448205128295,g,y,Pearl Seeker
0.576562270506935,0.635397000820768,0.358794858725744,0.313568186673161,0.397599099228979,0.416603186906845,0.381404709532169,0.548621252745579,0.407025998008077,0.384280352906214,g,y,Pearl Seeker
0.388882051711225,0.666106775625201,0.304690922022358,0.427020444211911,0.418464455452671,0.388046452415411,0.304223946814525,0.359652721226642,0.513402585824595,0.537052662159362,q,y,Pearl Seeker
0.577890263554005,0.860430810200778,0.574487902663134,0.55501157333694,0.434835202241461,0.328623034947123,0.41124547565948,0.500652375799082,0.499776706985249,0.477389336312318,g,y,Pearl Seeker
0.46837302775431,0.753170749901516,0.591513628616731,0.554674147279825,0.516518856349462,0.370795475924687,0.376820496828397,0.312130076861529,0.513198866905736,0.333267246243549,g,y,Pearl Seeker
0.30942875570602,0.854564164505512,0.394306794322898,0.452571207349411,0.572269942177828,0.374787668744662,0.423114876910689,0.526665341562915,0.368639449647487,0.323093972948638,q,y,Pearl Seeker
0.348366386176201,0.971879060937029,0.542436113869325,0.490021126953127,0.561438177056315,0.541101623069734,0.355971017665811,0.567767699546993,0.461802672574695,0.542232046549219,g,y,Pearl Seeker
0.572048532463726,0.708852899753854,0.494307036162409,0.300156113098595,0.405770656900251,0.391434377447409,0.349396755942883,0.460226825812633,0.445448991407695,0.507730809867081,g,j,Pearl Seeker
0.373237656674332,0.667316416869172,0.365629265871921,0.467430600605202,0.421150851317412,0.319467674132694,0.376174624180303,0.37406281885158,0.508891281851936,0.513681176977333,g,y,Pearl Seeker
0.599322145514683,0.706712405710114,0.592984486749796,0.423311103995469,0.309915219870165,0.403521374408005,0.490305403410409,0.50421163546643,0.459280374995141,0.434334949371928,g,j,Pearl Seeker
0.477809017163818,0.632341330533086,0.410896336818421,0.372647981483228,0.540941926913969,0.441090190333811,0.595026942268453,0.419647332733366,0.544929561965815,0.539503537495365,g,j,Pearl Seeker
0.452459633022216,0.878325122716353,0.557507641444116,0.397787671560565,0.366072314269664,0.513344859731405,0.542850313841915,0.404599796187519,0.328852965327426,0.582156979346881,q,j,Pearl Seeker
0.551313031772198,0.870276046815712,0.520564835772232,0.362721486221314,0.46243439214827,0.508735319803525,0.36856500653919,0.352486478128781,0.594650502998831,0.454990767381304,g,j,Pearl Seeker
0.598876109927377,0.986167740515518,0.467488036082129,0.564790902956802,0.356612132502414,0.383661405777655,0.510107348991831,0.553998342671492,0.556897287563428,0.421352438136657,g,j,Pearl Seeker
0.555278534630254,0.974253997688379,0.535602195334183,0.500696476414269,0.474205986430936,0.411684829968523,0.582040032737334,0.592099151026595,0.38517629242124,0.391609158103318,g,j,Pearl Seeker
0.434527242895874,0.997782985044328,0.352777575803204,0.305422609084656,0.44816811455503,0.353646812766399,0.409940635374858,0.523251156916969,0.516281977275639,0.392418237555717,q,y,Pearl Seeker
0.490899785455769,0.700184727442234,0.476961254268163,0.593667857482503,0.446022645887837,0.571829636315566,0.430318309653129,0.405023522308403,0.493531008609169,0.50067721789893,g,y,Pearl Seeker
0.369055580472467,0.799677351953901,0.471601259762755,0.530566204291893,0.31308113152633,0.598365153239202,0.440983354197283,0.383868102539028,0.565048206679878,0.524315632169224,g,j,Pearl Seeker
0.399225091401154,0.821105986734196,0.471687740751251,0.594099475114814,0.322603876801838,0.391709105786155,0.357273309345104,0.380542457067047,0.445583962282895,0.411806060128215,g,y,Pearl Seeker
0.553263942217893,0.972006733924333,0.321124839254863,0.362675615284608,0.501343055047215,0.407594034388849,0.376249094720922,0.388587176525682,0.39676522927158,0.554600938477402,g,y,Pearl Seeker
0.512673299073036,0.821127990763163,0.38895304309434,0.425934256933883,0.376862083078337,0.483454113259704,0.324478254120072,0.301555458832196,0.488368324484591,0.358282186053613,g,j,Pearl Seeker
0.315230559311819,0.954646859580264,0.308285031562111,0.473659468652268,0.431542236905426,0.50160784058856,0.39844580024242,0.346512485018323,0.594552266493159,0.551680050620809,g,j,Pearl Seeker
0.375075408154759,0.615533893771769,0.390979654401967,0.461124728158997,0.397995372538812,0.548360701136277,0.381462874745923,0.589575549117231,0.437179548484119,0.552606922503594,g,y,Pearl Seeker
0.509853663230158,0.655341236967121,0.339823626672891,0.590861060134248,0.514378531253986,0.312320255030363,0.419646270433438,0.430056221274223,0.523212792899735,0.375258158203998,g,y,Pearl Seeker
0.324261889985159,0.771325789976043,0.50654997022961,0.317458078652533,0.574564118287944,0.432705668919331,0.371936207747221,0.328161987024388,0.354859799132192,0.580384199201913,g,j,Pearl Seeker
0.45500887722797,0.862844531400067,0.430701869603367,0.519011794968546,0.314314838307495,0.469811163148223,0.347593934292747,0.336049394341693,0.402563900014921,0.327539719744033,q,y,Pearl Seeker
0.393423992817388,0.991804211448603,0.352599080966802,0.305148330549525,0.529009326901173,0.542073893115234,0.40389129632682,0.439402143881883,0.494932104792829,0.31441767725911,g,y,Pearl Seeker
0.566004116189414,0.704357449336686,0.304591362087115,0.580030892423845,0.450311965174578,0.461813234520019,0.505189130819442,0.484755349316974,0.583167481368227,0.58327547913755,q,j,Pearl Seeker
0.472642253362764,0.755267970482609,0.492986465532706,0.437475867147455,0.46368503679478,0.582439442632958,0.415830791340232,0.588357169147174,0.571605192586819,0.358737340436789,g,j,Pearl Seeker
0.330233400413228,0.60728873026062,0.328332888226779,0.504902032024907,0.321356594538069,0.395692689088128,0.553462593290836,0.306981580720748,0.544340544776681,0.38455643243202,g,y,Pearl Seeker
0.404500981335959,0.974659260742283,0.311755898002694,0.425383809514674,0.590274165456074,0.464391564974426,0.427041282692436,0.470556085124988,0.472777372577425,0.519494326589892,g,y,Pearl Seeker
0.532923888222599,0.736321416101207,0.57922719768107,0.557523825552904,0.428698208212506,0.525261320337449,0.526362862225405,0.33093716065078,0.57076587200387,0.451575711734357,g,j,Pearl Seeker
0.389290552352793,0.639993954864745,0.316045589024211,0.58756244906496,0.554142943228677,0.406471557138816,0.587040265537937,0.503030971327291,0.444756284892793,0.447907697331541,g,y,Pearl Seeker
0.387963231509419,0.731465818147966,0.501755536823112,0.525712358831304,0.537473713117755,0.536885442838366,0.327361830914607,0.448326091410774,0.317267628004993,0.464858664697121,g,y,Pearl Seeker
0.56631125482749,0.740366005020832,0.335120104928282,0.342897504615851,0.528453189515242,0.485465418994878,0.330336802836837,0.325232041834499,0.510290739437736,0.321828901909258,g,y,Pearl Seeker
0.511872668146949,0.63253951225676,0.325451314225558,0.595991873550353,0.412281238726836,0.411192644120067,0.543839870177251,0.584174573215158,0.595800319146861,0.526013455577683,g,j,Pearl Seeker
0.325050215009601,0.910858766370975,0.467521274920741,0.427266602774093,0.571906315528421,0.333359244691845,0.447787531287258,0.303406093430226,0.440598192598238,0.316890982704551,g,y,Pearl Seeker
0.494763090634819,0.898417951706169,0.475010629529148,0.588651764542363,0.412461173857111,0.385713625884558,0.560579738456838,0.367078751555836,0.588966761832183,0.303646342406945,g,y,Pearl Seeker
0.396805916483275,0.617360313319269,0.577392999067079,0.575734714583598,0.375897050396772,0.508623336931994,0.322630364126931,0.349864629572776,0.365042731975947,0.388348184051829,g,y,Pearl Seeker
0.509077516759144,0.753680732551688,0.521130211752906,0.574576302500732,0.587610722222354,0.317359169327312,0.418356539582439,0.332026819780765,0.400698019439089,0.35090397116867,g,j,Pearl Seeker
0.406005668407816,0.833462444740349,0.323320391089495,0.59231844229985,0.595863223343881,0.509448514205924,0.460828909903236,0.392858284885898,0.544138505912085,0.505419351766164,g,y,Pearl Seeker
